#Table: III/159A/catalog.dat (cdsarc.u-strasbg.fr)
#---------------------------------------------------------------------------------------------------------------------------------------------------------------
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |r|      |      |       |
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |P|      |      |       |
#          |    |      |      |      |     e|      |        |        |          |          |                   |                 |o|      |      |       |
#Star      |Nobs|  Smin|  Smax| Smean|_Smean|   sdS|    Wmin|   Wmean|Date1     |Date2     |SName              |   RAdeg    DEdeg|s|  Bmag|  Vmag|   ASCC|   HIP
#----------|----|------|------|------|------|------|--------|--------|----------|----------|-------------------|-----------------|-|------|------|-------|------
Hya    51 | 111|0.1812|0.2116|0.1992|0.0060|  3.02|   769.3|  2202.3| 1/11/1982|16/ 3/1983|Cl Melotte 25 51   |066.0926 +17.0790|A| 7.429| 6.948| 838331| 20567
Hya    52 |  60|0.2537|0.3595|0.3162|0.0192|  6.09|   172.6|  1236.0|24/10/1981|31/ 1/1982|Cl Melotte 25 52   |066.1177 +16.8862|A| 8.382| 7.790| 838335| 20577
Hya    52 |  42|0.2846|0.3652|0.3130|0.0179|  5.73|   584.5|  1205.2|16/10/1982|16/ 3/1983|Cl Melotte 25 52   |066.1177 +16.8862|A| 8.382| 7.790| 838335| 20577
Hya    57 |  18|0.2129|0.2532|0.2358|0.0102|  4.32|   701.3|  1848.3|30/10/1981|26/ 1/1982|Cl Melotte 25 57   |066.4052 +15.9411|A| 6.951| 6.439| 838369| 20661
Hya    57 | 159|0.2268|0.2691|0.2428|0.0076|  3.13|   723.5|  2555.4|23/ 9/1982|20/ 2/1983|Cl Melotte 25 57   |066.4052 +15.9411|A| 6.951| 6.439| 838369| 20661
Hya    58 |  21|0.3434|0.4046|0.3799|0.0163|  4.28|   843.1|  1297.2| 1/11/1981|26/ 1/1982|Cl Melotte 25 58   |066.4652 +18.8641|A| 8.219| 7.527| 838382| 20686
Hya    58 |  87|0.3462|0.4250|0.3823|0.0169|  4.42|   217.5|  1482.2|23/ 9/1982| 2/ 2/1983|Cl Melotte 25 58   |066.4652 +18.8641|A| 8.219| 7.527| 838382| 20686
Hya    59 |  62|0.2323|0.3113|0.2772|0.0141|  5.07|   584.9|  1399.5| 1/11/1982|17/ 2/1983|Cl Melotte 25 59   |066.5241 +15.5244|A| 8.034| 7.462| 838388|
Hya    61 |   1|0.7456|0.7456|0.7456|0.0000|  0.00|  4311.3|  4311.3|13/12/1978|13/12/1978|Cl Melotte 25 61   |066.4887 +05.1501|A| 7.870| 7.350|1009065| 20693
Hya    63 |  63|0.3062|0.4018|0.3543|0.0212|  5.98|   504.3|   907.0|24/10/1981|31/ 1/1982|Cl Melotte 25 63   |066.6023 +16.8534|A| 8.691| 8.032| 838398| 20719
Hya    63 |  18|0.3395|0.3942|0.3677|0.0140|  3.80|   594.8|  1328.6|12/12/1982|16/ 3/1983|Cl Melotte 25 63   |066.6023 +16.8534|A| 8.691| 8.032| 838398| 20719
Hya    64 |  63|0.2736|0.3744|0.3151|0.0197|  6.25|   466.0|   773.7|24/10/1981| 2/ 2/1982|Cl Melotte 25 64   |066.6669 +16.7470|A| 8.770| 8.095| 838405| 20741
Hya    64 |  18|0.2897|0.3402|0.3145|0.0141|  4.48|   389.7|   925.8|12/12/1982|16/ 3/1983|Cl Melotte 25 64   |066.6669 +16.7470|A| 8.770| 8.095| 838405| 20741
Hya    65 |  48|0.1889|0.2580|0.2355|0.0147|  6.25|   338.8|  1438.8|30/10/1981|26/ 1/1982|Cl Melotte 25 65   |066.8993 +15.5892|A| 7.957| 7.396| 838430| 20815
Hya    65 |  96|0.1894|0.2779|0.2403|0.0158|  6.57|   174.5|  1485.1|30/ 9/1982|17/ 2/1983|Cl Melotte 25 65   |066.8993 +15.5892|A| 7.957| 7.396| 838430| 20815
Hya    66 |   1|0.3000|0.3000|0.3000|0.0000|  0.00|  6576.9|  6576.9|13/12/1978|13/12/1978|Cl Melotte 25 66   |066.9417 +11.7364|A| 8.066| 7.482| 921546| 20826
Hya    66 |   1|0.2927|0.2927|0.2927|0.0000|  0.00|  2404.9|  2404.9|24/10/1979|24/10/1979|Cl Melotte 25 66   |066.9417 +11.7364|A| 8.066| 7.482| 921546| 20826
Hya    68 |   1|0.3183|0.3183|0.3183|0.0000|  0.00|  6288.5|  6288.5|13/12/1978|13/12/1978|Cl Melotte 25 68   |067.0972 +14.7410|A| 6.242| 5.899| 921575| 20873
Hya    69 |  18|0.3206|0.5249|0.4032|0.0602| 14.92|   265.5|   405.3|30/10/1981|17/ 1/1982|Cl Melotte 25 69   |067.1548 +19.7408|A| 9.359| 8.614| 838460| 20890
Hya    69 |  15|0.3420|0.4365|0.3982|0.0261|  6.55|   366.1|  1169.9|20/12/1982|14/ 1/1983|Cl Melotte 25 69   |067.1548 +19.7408|A| 9.359| 8.614| 838460| 20890
Hya    73 |  12|0.2885|0.3202|0.3033|0.0112|  3.69|  1106.6|  1396.6|24/10/1981|10/11/1981|Cl Melotte 25 73   |067.2010 +17.2855|A| 8.466| 7.822| 838466| 20899
Hya    73 |  21|0.2998|0.3648|0.3373|0.0147|  4.34|   664.8|  1360.8|17/10/1982|11/ 3/1983|Cl Melotte 25 73   |067.2010 +17.2855|A| 8.466| 7.822| 838466| 20899
Hya    76 |   1|2.1910|2.1910|2.1910|0.0000|  0.00|  1320.1|  1320.1|22/ 7/1977|22/ 7/1977|Cl Melotte 25 76   |067.3780 +26.6717|A| 9.985| 9.182| 659368| 20949
Hya    77 |  99|0.2284|0.2801|0.2615|0.0091|  3.48|   769.5|  2234.9| 1/11/1982|16/ 3/1983|Cl Melotte 25 77   |067.3354 +17.5450|A| 7.527| 7.003| 838482| 20935
Hya    78 |  54|0.1490|0.2196|0.1945|0.0115|  5.93|   436.6|  1793.3|24/10/1981| 1/ 2/1982|Cl Melotte 25 78   |067.3762 +17.8632|A| 7.373| 6.894| 838487| 20948
Hya    78 | 111|0.1733|0.2109|0.1960|0.0068|  3.46|   760.2|  2168.3|23/ 9/1982|16/ 3/1983|Cl Melotte 25 78   |067.3762 +17.8632|A| 7.373| 6.894| 838487| 20948
